zoneName,lockName,upc,itemNumber,description,store
72-ELECTRONICS-TIER 1,K6-1,0071171957977,1000041319,PS5 WH Portal 1319,1458
72-ELECTRONICS-TIER 1,K6-1,0071171958826,1000044180,PS5 BK Portal 4180,1458
72-ELECTRONICS-TIER 1,K6-1,0061788510431,,PS Portal Carry Case,1458
72-ELECTRONICS-TIER 1,K6-2,0071171902148,1000049898,PS5 Digital Slim 9898,1458
72-ELECTRONICS-TIER 1,K6-2,0071171902145,1000049888,PS5 Disc Slim 9888,1458
72-ELECTRONICS-TIER 1,K6-2,0071171966363,1000038548,PS5 Pro Charge Button,1458
72-ELECTRONICS-TIER 1,K6-2,0071171902453,1000050805,PS5 Pro 0805,1458
72-ELECTRONICS-TIER 1,K6-2,0061788510491,,PS Portal Charge Station,1458
72-ELECTRONICS-TIER 1,K7-5,0019638630421,,Xbox Series S 512GB,1458
72-ELECTRONICS-TIER 1,K7-5,0019638633200,,Xbox Series S 1TB White,1458
72-ELECTRONICS-TIER 1,K7-5,0019638633600,,Xbox Series X Digital,1458
72-ELECTRONICS-TIER 1,K7-5,0009994040720,,Xbox Series X,1458
